iteration,LERLv1,LERLv2,LERLv3,LERLv4
0,0.0,0.0,-0.18265449159621028,4.183475651887592
1,0.0,0.0,-0.18265449159621028,4.183475651887592
2,0.0,0.0,-0.18265449159621028,4.183475651887592
3,0.0,0.0,-0.18265449159621028,4.183475651887592
4,0.0,0.0,-0.18265449159621028,4.183475651887592
5,0.0,0.0,-0.18265449159621028,4.183475651887592
6,0.0,0.0,-0.18265449159621028,4.183475651887592
7,0.0,0.0,-0.18265449159621028,4.183475651887592
8,0.0,0.0,-0.18265449159621028,4.183475651887592
9,0.0,0.0,-0.18265449159621028,4.183475651887592
10,0.0,0.0,-0.18265449159621028,4.183475651887592
11,0.0,0.0,-0.18265449159621028,4.183475651887592
12,0.0,0.0,-0.18265449159621028,4.183475651887592
13,0.0,0.0,-0.18265449159621028,4.183475651887592
14,0.0,0.0,-0.18265449159621028,4.183475651887592
15,0.0,0.0,-0.18265449159621028,4.183475651887592
16,0.0,0.0,-0.18265449159621028,4.183475651887592
17,0.0,0.0,-0.18265449159621028,4.183475651887592
18,0.0,0.0,-0.18265449159621028,4.183475651887592
19,0.0,0.0,-0.18265449159621028,4.183475651887592
20,0.0,0.0,-0.18265449159621028,4.183475651887592
21,0.0,0.0,-0.18265449159621028,4.183475651887592
22,0.0,0.0,-0.18265449159621028,4.183475651887592
23,0.0,0.0,-0.18265449159621028,4.183475651887592
24,0.0,0.0,-0.18265449159621028,4.183475651887592
25,0.0,0.0,-0.18265449159621028,4.183475651887592
26,0.0,0.0,-0.18265449159621028,4.183475651887592
27,0.0,0.0,-0.18265449159621028,4.183475651887592
28,0.0,0.0,-0.18265449159621028,4.183475651887592
29,0.0,0.0,-0.18265449159621028,4.183475651887592
30,0.0,0.0,-0.18265449159621028,4.183475651887592
31,0.0,0.0,-0.18265449159621028,4.183475651887592
32,0.0,0.0,-0.18265449159621028,4.183475651887592
33,0.0,0.0,-0.18265449159621028,4.183475651887592
34,0.0,0.0,-0.18265449159621028,4.183475651887592
35,0.0,0.0,-0.18265449159621028,4.183475651887592
36,0.0,0.0,-0.18265449159621028,4.183475651887592
37,0.0,0.0,-0.18265449159621028,4.183475651887592
38,0.0,0.0,-0.18265449159621028,4.183475651887592
39,0.0,0.0,-0.18265449159621028,4.183475651887592
